seller_id,regime,n_stores,n_items_target,n_items_actual,method,eta,tilt,gt_segment,seller_accuracy
0,focused,1,30,30,A_real,0.0,easy,1,0.9
1,focused,1,30,30,A_real,0.0,neutral,5,0.9333333333333333
2,focused,1,30,30,A_real,0.0,hard,0,0.7
3,focused,1,30,30,A_real,0.0,easy,2,0.9
4,focused,1,30,30,A_real,0.0,neutral,0,0.8666666666666667
5,focused,1,30,30,A_real,0.0,hard,4,0.7666666666666667
6,focused,1,30,30,A_real,0.0,easy,2,0.9666666666666667
7,focused,1,30,30,A_real,0.0,neutral,9,0.8333333333333334
8,focused,1,30,30,A_real,0.0,hard,3,0.6666666666666666
9,focused,1,30,30,A_real,0.0,easy,5,0.9666666666666667
10,focused,1,30,30,A_real,0.0,neutral,4,0.8666666666666667
11,focused,1,30,30,A_real,0.0,hard,0,0.8
12,focused,1,30,30,A_real,0.0,easy,10,0.9666666666666667
13,focused,1,30,30,A_real,0.0,neutral,5,0.9666666666666667
14,focused,1,30,30,A_real,0.0,hard,7,0.5666666666666667
15,focused,1,30,30,A_real,0.0,easy,8,0.8666666666666667
16,focused,1,30,30,A_real,0.0,neutral,9,0.9
17,focused,1,30,30,A_real,0.0,hard,4,0.7666666666666667
18,focused,1,30,30,A_real,0.0,easy,8,0.8666666666666667
19,focused,1,30,30,A_real,0.0,neutral,2,0.9
20,focused,1,30,30,A_real,0.0,hard,4,0.8666666666666667
21,focused,1,30,30,A_real,0.0,easy,1,0.9666666666666667
22,focused,1,30,30,A_real,0.0,neutral,6,0.8666666666666667
23,focused,1,30,30,A_real,0.0,hard,3,0.7333333333333333
24,focused,1,30,30,A_real,0.0,easy,1,0.8666666666666667
25,focused,1,30,30,A_real,0.0,neutral,5,0.9666666666666667
26,focused,1,30,30,A_real,0.0,hard,9,0.8
27,focused,1,30,30,A_real,0.0,easy,8,0.9666666666666667
28,focused,1,30,30,A_real,0.0,neutral,0,0.7666666666666667
29,focused,1,30,30,A_real,0.0,hard,3,0.7666666666666667
30,focused,1,30,30,A_real,0.0,easy,2,0.9666666666666667
31,focused,1,30,30,A_real,0.0,neutral,3,0.8666666666666667
32,focused,1,30,30,A_real,0.0,hard,4,0.8666666666666667
33,focused,1,30,30,A_real,0.0,easy,8,0.7666666666666667
34,focused,1,30,30,A_real,0.0,neutral,6,0.8333333333333334
35,focused,1,30,30,A_real,0.0,hard,3,0.8666666666666667
36,focused,1,30,30,A_real,0.0,easy,1,0.9666666666666667
37,focused,1,30,30,A_real,0.0,neutral,6,0.7666666666666667
38,focused,1,30,30,A_real,0.0,hard,3,0.7
39,focused,1,30,30,A_real,0.0,easy,10,1.0
40,focused,1,100,100,A_real,0.0,easy,5,0.91
41,focused,1,100,100,A_real,0.0,neutral,6,0.86
42,focused,1,100,100,A_real,0.0,hard,9,0.85
43,focused,1,100,100,A_real,0.0,easy,2,0.91
44,focused,1,100,100,A_real,0.0,neutral,1,0.98
45,focused,1,100,100,A_real,0.0,hard,3,0.75
46,focused,1,100,100,A_real,0.0,easy,2,0.9
47,focused,1,100,100,A_real,0.0,neutral,8,0.89
48,focused,1,100,100,A_real,0.0,hard,9,0.9
49,focused,1,100,100,A_real,0.0,easy,2,0.89
50,focused,1,100,100,A_real,0.0,neutral,8,0.92
51,focused,1,100,100,A_real,0.0,hard,9,0.85
52,focused,1,100,100,A_real,0.0,easy,10,0.93
53,focused,1,100,100,A_real,0.0,neutral,10,0.93
54,focused,1,100,100,A_real,0.0,hard,0,0.83
55,focused,1,100,100,A_real,0.0,easy,8,0.93
56,focused,1,100,100,A_real,0.0,neutral,6,0.92
57,focused,1,100,100,A_real,0.0,hard,7,0.87
58,focused,1,100,100,A_real,0.0,easy,1,0.97
59,focused,1,100,100,A_real,0.0,neutral,0,0.83
60,focused,1,100,100,A_real,0.0,hard,4,0.76
61,focused,1,100,100,A_real,0.0,easy,8,0.88
62,focused,1,100,100,A_real,0.0,neutral,1,0.92
63,focused,1,100,100,A_real,0.0,hard,3,0.74
64,focused,1,100,100,A_real,0.0,easy,1,0.95
65,focused,1,100,100,A_real,0.0,neutral,9,0.83
66,focused,1,100,100,A_real,0.0,hard,0,0.88
